disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,n_features,perm_mean,perm_sd,perm_p,perm_z,n_perm
COAD/READ,both,mean,False,26320,49,673,48,-0.07661436808993782,-0.1068986418141908,-0.046330094365684846,-0.08201737136790721,0.9907005146477301,-0.004517387687038177,,,,,,,,,,,,
COAD/READ,both,drugmean,False,26320,49,673,48,0.16335592932605786,0.15313353927618495,0.17357831937593077,0.16897222080713736,0.9812407846057806,0.014569384180072632,3.0,49.0,0.05442176870748299,0.13254776507839483,0.19598503418671487,0.5915821430360115,,,,,,
COAD/READ,both,enet_resid,True,26320,49,673,48,-0.011822225385696222,-0.07531479485341722,0.051670344082024776,-0.012095266847483762,0.9831136588430585,-0.0038441876206181556,,,,,,,,,,,,
COAD/READ,both,enet_expr,False,26320,49,673,48,-0.0896358848555731,-0.11522323240560431,-0.06404853730554189,-0.09507381085277708,0.9926514971262883,-0.0084865181460811,,,,,,,,,,,,
COAD/READ,both,enet_pathwaypcs,True,26320,49,673,48,-0.025419231879616595,-0.05314372720764417,0.0023052634484109803,-0.018532623432520306,0.9830091423484439,-0.0036078457135714894,,,,,,,48.0,,,,,
COAD/READ,both,enet_pathway,True,26320,49,673,48,-0.03570486837078305,-0.09032408017340769,0.01891434343184159,-0.02218657806172085,0.9855739240902835,-0.008862571701116994,,,,,,,1809.0,-0.0001,0.0071,1.0,-5.045,100.0
COAD/READ,both,enet_pcs_pathway,True,26320,49,673,48,-0.005312451189675651,-0.044589532016335816,0.03396462963698451,-0.023801418446844656,0.9848079426686258,-0.007314525947886974,,,,,,,1857.0,0.0007,0.0072,0.7624,-0.828,100.0
DLBC,both,mean,False,6109,26,285,25,-0.10930386519430577,-0.12773006053588037,-0.09087766985273117,-0.10730190038418266,1.3887363970528357,-0.006660897385499931,,,,,,,,,,,,
DLBC,both,drugmean,False,6109,26,285,25,0.5109727723485495,0.5048340695397602,0.5171114751573389,0.434356862098881,1.2524952058082883,0.1811438669342927,3.0,26.0,0.01282051282051282,0.372135672359294,0.528901238056702,0.4368463539050889,,,,,,
DLBC,both,enet_resid,True,6109,26,285,25,0.029526011282712383,-0.024375221258101824,0.08342724382352659,0.016090116055666,1.2543467933374106,-0.0029549298881564657,,,,,,,,,,,,
DLBC,both,enet_expr,False,6109,26,285,25,-0.04134348848959429,-0.09702744113643803,0.014340464157249447,-0.03642978071057766,1.3911958593811193,-0.010234114812559092,,,,,,,,,,,,
DLBC,both,enet_pathwaypcs,True,6109,26,285,25,-0.01874276618478521,-0.10002755869209909,0.06254202632252867,-0.03556338371872071,1.2553255466903785,-0.004534593542865473,,,,,,,25.0,,,,,
DLBC,both,enet_pathway,True,6109,26,285,25,-0.0005538374695609416,-0.05819061234368295,0.05708293740456107,-0.030623920143673534,1.260367808787247,-0.01263482472410451,,,,,,,1809.0,-0.001,0.0149,0.505,0.031,100.0
DLBC,both,enet_pcs_pathway,True,6109,26,285,25,-0.0004144337859804725,-0.05954154277924312,0.05871267520728217,-0.019493650586723286,1.2595092843372964,-0.01128032985008629,,,,,,,1834.0,-0.001,0.0154,0.4356,0.038,100.0
ESCA,both,mean,False,15479,25,663,24,-0.1150038226848141,-0.15679746966076435,-0.07321017570886384,-0.11550176137596105,0.8376189093855194,-0.008257394555198961,,,,,,,,,,,,
ESCA,both,drugmean,False,15479,25,663,24,0.1826983987438627,0.1655469411872066,0.19984985630051882,0.20404803800335794,0.8256010123699422,0.02044066420839665,3.0,25.0,0.06666666666666667,0.14434360222971152,0.21160608076429044,0.6164743763989791,,,,,,
ESCA,both,enet_resid,True,15479,25,663,24,0.008298851289500853,-0.01763759617526622,0.03423529875426792,-0.0015564520498609637,0.8266586098239982,-0.002582620815617176,,,,,,,,,,,,
ESCA,both,enet_expr,False,15479,25,663,24,-0.08525370006882309,-0.14102465430984434,-0.029482745827801818,-0.07066584512293059,0.8398753956159514,-0.01370316875724229,,,,,,,,,,,,
ESCA,both,enet_pathwaypcs,True,15479,25,663,24,-0.05309357823715562,-0.12269399654702853,0.0165068400727173,-0.05186712513197324,0.8319218266458558,-0.015383458807392447,,,,,,,24.0,,,,,
ESCA,both,enet_pathway,True,15479,25,663,24,-0.05458574339464388,-0.0961106533663021,-0.013060833422985654,-0.08007485841501867,0.828066733357707,-0.005985567518319046,,,,,,,1809.0,-0.0004,0.0095,1.0,-5.67,100.0
ESCA,both,enet_pcs_pathway,True,15479,25,663,24,-0.046835585634913135,-0.08458665619275665,-0.009084515077069609,-0.07773112965807923,0.8280296310092753,-0.005896199339104413,,,,,,,1833.0,-0.0006,0.0089,1.0,-5.177,100.0
GBM,both,mean,False,17745,33,665,32,-0.06689978054998366,-0.08787441269934325,-0.045925148400624075,-0.06720572701384409,0.9281815516177142,-0.0027290060739773025,,,,,,,,,,,,
GBM,both,drugmean,False,17745,33,665,32,0.1705246518170829,0.16501607839113122,0.17603322524303458,0.13781215250580497,0.9287526359609902,-0.00396737393448332,3.0,33.0,0.0,0.12170452165828098,0.18055377366155662,0.48754058468917,,,,,,
GBM,both,enet_resid,True,17745,33,665,32,-0.05231644880105638,-0.08867013773169558,-0.01596275987041719,-0.03870656978740321,0.9336649131632111,-0.010637237715742742,,,,,,,,,,,,
GBM,both,enet_expr,False,17745,33,665,32,-0.058396791646737424,-0.09064706060867977,-0.02614652268479508,-0.04598334921824606,0.9319729243247812,-0.010944382413618437,,,,,,,,,,,,
GBM,both,enet_pathwaypcs,True,17745,33,665,32,0.02420886971274245,-0.008964865364832979,0.05738260479031788,0.03874782892904998,0.92848306977069,0.0005708290072218069,,,,,,,32.0,,,,,
