disease,drug_name,n_lines,spearman,spearman_lo,perm_mean,perm_sd,perm_p
ESCA,gefitinib,25,0.2006153846153845,0.0773276315751732,-0.0944,0.2448,0.1485
ESCA,BRD-K55116708,22,-0.1346512338359687,-0.2180156650224114,-0.1043,0.2842,0.5446
ESCA,manumycin A,24,0.5137391304347825,0.4061228243218199,-0.0547,0.2748,0.0396
ESCA,RO-3306,23,-0.283596837944664,-0.3810737418019793,-0.0861,0.2749,0.7525
ESCA,GNE-317,22,-0.273630717108978,-0.3978643904546676,-0.0726,0.2654,0.7525
ESCA,BI-2536,25,0.0398461538461538,-0.1188905775920747,-0.0577,0.2682,0.3663
ESCA,Zoledronate,20,0.0799999999999999,0.014356341802914,-0.1056,0.283,0.297
ESCA,KU-55933,25,0.3746153846153846,0.318957232743242,-0.0474,0.273,0.0594
ESCA,Entospletinib,22,-0.3919819311123659,-0.5121384278771689,-0.1213,0.3083,0.802
ESCA,cediranib,25,0.1918461538461538,0.0389029746690335,-0.0773,0.271,0.2079
ESCA,PD318088,24,-0.1384648869436407,-0.2602075080483514,-0.0683,0.2884,0.6139
ESCA,LGK974,23,-0.5256916996047432,-0.7214471556355437,-0.1023,0.2724,0.9307
ESCA,Savolitinib,22,-0.4737436476566912,-0.6827923608687505,-0.0759,0.2888,0.9109
ESCA,ibrutinib,25,-0.239076923076923,-0.3894138818527494,-0.0574,0.2674,0.7426
ESCA,nintedanib,24,-0.1597738676604699,-0.3081533299359488,-0.0401,0.2409,0.6634
ESCA,leptomycin B,24,0.1321739130434782,0.0410542435830874,-0.0749,0.2759,0.297
ESCA,Mirin,22,-0.1189158667419537,-0.3278279021275601,-0.1105,0.2425,0.505
ESCA,BRD-K11533227,22,0.0429257289074396,-0.1985283204912285,-0.0802,0.3042,0.4059
ESCA,GSK2110183B,20,-0.3227067669172931,-0.4980803891311854,-0.0606,0.2771,0.8317
ESCA,ceranib-2,24,0.2579130434782608,0.1683145850794244,-0.1054,0.2554,0.099
ESCA,Sinularin,20,0.4911278195488721,0.4266646204014412,-0.0927,0.2854,0.0495
ESCA,ML050,23,-0.4711462450592886,-0.6026440444086798,-0.0682,0.2699,0.9505
ESCA,PAC-1,21,-0.3407792207792207,-0.4688249460830942,-0.1097,0.2905,0.7426
ESCA,parbendazole,24,0.2674782608695652,0.1092650190730166,-0.1082,0.2646,0.099
ESCA,CD-1530,24,-0.2436521739130434,-0.3443752371792289,-0.0535,0.2843,0.7525
ESCA,bendamustine,24,0.2156521739130434,0.0997364723224639,-0.0478,0.2235,0.1485
ESCA,AZ-3146,23,-0.1558853383725491,-0.2833694335113716,-0.0769,0.2928,0.604
ESCA,OF-1,22,0.1555053642010164,0.1027511734672699,-0.0688,0.2848,0.2178
ESCA,LJI308,22,-0.1162055335968379,-0.259836390069778,-0.0896,0.3,0.495
ESCA,ML320,24,0.3770384955406298,0.2746038514409992,-0.0686,0.2966,0.0594
ESCA,NSC19630,25,0.0883076923076923,0.0285444732060035,-0.0199,0.2474,0.3366
ESCA,KW-2449,24,0.0073043478260869,-0.1455392618218402,-0.1324,0.2552,0.3564
ESCA,PLX-4720,25,0.2018461538461538,0.1531670674408561,-0.0939,0.2676,0.1782
ESCA,LE-135,24,-0.1085217391304347,-0.2073421718155229,-0.1122,0.268,0.505
ESCA,vorapaxar,24,-0.3756521739130434,-0.4685789942381131,-0.0738,0.2763,0.8713
ESCA,dasatinib,25,0.5118461538461538,0.4409836530343579,-0.0427,0.2474,0.0099
ESCA,docetaxel,25,0.087076923076923,0.0262860662433809,-0.0767,0.2593,0.297
ESCA,trifluoperazine,23,0.5399209486166008,0.4317367103977605,-0.0863,0.2734,0.0099
ESCA,SKI-II,24,0.2558817194649442,0.1857700045358065,-0.0866,0.3039,0.1584
ESCA,SNX-2112,24,0.2789565217391304,0.1434384683543703,-0.0636,0.2659,0.1188
ESCA,GSK461364,24,-0.0372173913043478,-0.0855181396068166,-0.1497,0.2932,0.3267
ESCA,Compound 23 citrate,23,0.0470355731225296,-0.089170498761321,-0.1128,0.2943,0.2871
ESCA,alisertib,25,-0.2067692307692308,-0.3543463558547965,-0.058,0.2611,0.703
ESCA,CHM-1,23,0.3693675889328063,0.3395868112745535,-0.1062,0.2654,0.0594
ESCA,3-Cl-AHPC,24,0.3219130434782608,0.2514028741383687,-0.0473,0.2432,0.099
ESCA,Obatoclax Mesylate,20,0.1001503759398496,-0.1045286049247135,-0.1407,0.3216,0.2277
ESCA,momelotinib,24,-0.5361739130434782,-0.7059432120730897,-0.0225,0.2513,0.9802
ESCA,BMS-536924,25,-0.4167692307692308,-0.5977214540625435,-0.0753,0.2721,0.8713
ESCA,VER-155008,24,0.3386086956521738,0.1919014681095864,-0.0577,0.2821,0.0792
